"BUYER_STATE","BUYER_COUNTY","MONTH_NUM","YEAR_NUM","TOTAL_PILLS"
"CA","ALPINE","3","2009","1200"
"CA","ALPINE","12","2009","1500"
"CA","ALPINE","1","2010","1200"
"CA","ALPINE","3","2010","750"
"CA","ALPINE","11","2010","1200"
"CA","ALPINE","12","2011","600"
"CA","ALPINE","2","2012","100"
"CA","AMADOR","1","2006","157100"
"CA","AMADOR","2","2006","153600"
"CA","AMADOR","3","2006","171100"
"CA","AMADOR","4","2006","158700"
"CA","AMADOR","5","2006","185400"
"CA","AMADOR","6","2006","179000"
"CA","AMADOR","7","2006","167000"
"CA","AMADOR","8","2006","183500"
"CA","AMADOR","9","2006","179000"
"CA","AMADOR","10","2006","171000"
"CA","AMADOR","11","2006","178200"
"CA","AMADOR","12","2006","172890"
"CA","AMADOR","1","2007","196460"
"CA","AMADOR","2","2007","172430"
"CA","AMADOR","3","2007","189200"
"CA","AMADOR","4","2007","176600"
"CA","AMADOR","5","2007","201030"
"CA","AMADOR","6","2007","186300"
"CA","AMADOR","7","2007","197260"
"CA","AMADOR","8","2007","259500"
"CA","AMADOR","9","2007","205700"
"CA","AMADOR","10","2007","169300"
"CA","AMADOR","11","2007","174000"
"CA","AMADOR","12","2007","195500"
"CA","AMADOR","1","2008","204400"
"CA","AMADOR","2","2008","182440"
"CA","AMADOR","3","2008","207900"
"CA","AMADOR","4","2008","202930"
"CA","AMADOR","5","2008","207730"
"CA","AMADOR","6","2008","197660"
"CA","AMADOR","7","2008","224100"
"CA","AMADOR","8","2008","203400"
"CA","AMADOR","9","2008","204700"
"CA","AMADOR","10","2008","213900"
"CA","AMADOR","11","2008","184400"
"CA","AMADOR","12","2008","232500"
"CA","AMADOR","1","2009","203500"
"CA","AMADOR","2","2009","192200"
"CA","AMADOR","3","2009","225200"
"CA","AMADOR","4","2009","210100"
"CA","AMADOR","5","2009","227300"
"CA","AMADOR","6","2009","232600"
"CA","AMADOR","7","2009","231800"
"CA","AMADOR","8","2009","209400"
"CA","AMADOR","9","2009","219000"
"CA","AMADOR","10","2009","215100"
"CA","AMADOR","11","2009","214400"
"CA","AMADOR","12","2009","239600"
"CA","AMADOR","1","2010","207100"
"CA","AMADOR","2","2010","214100"
"CA","AMADOR","3","2010","234000"
"CA","AMADOR","4","2010","218900"
"CA","AMADOR","5","2010","196700"
"CA","AMADOR","6","2010","239700"
"CA","AMADOR","7","2010","227700"
"CA","AMADOR","8","2010","232400"
"CA","AMADOR","9","2010","211800"
"CA","AMADOR","10","2010","229700"
"CA","AMADOR","11","2010","219200"
"CA","AMADOR","12","2010","240000"
"CA","AMADOR","1","2011","222200"
"CA","AMADOR","2","2011","219100"
"CA","AMADOR","3","2011","257530"
"CA","AMADOR","4","2011","221900"
"CA","AMADOR","5","2011","233600"
"CA","AMADOR","6","2011","258100"
"CA","AMADOR","7","2011","230600"
"CA","AMADOR","8","2011","243400"
"CA","AMADOR","9","2011","250530"
"CA","AMADOR","10","2011","241500"
"CA","AMADOR","11","2011","237500"
"CA","AMADOR","12","2011","268820"
"CA","AMADOR","1","2012","260900"
"CA","AMADOR","2","2012","267100"
"CA","AMADOR","3","2012","252180"
"CA","AMADOR","4","2012","226900"
"CA","AMADOR","5","2012","278120"
"CA","AMADOR","6","2012","263800"
"CA","AMADOR","7","2012","236900"
"CA","AMADOR","8","2012","265900"
"CA","AMADOR","9","2012","243170"
"CA","AMADOR","10","2012","281080"
"CA","AMADOR","11","2012","262600"
"CA","AMADOR","12","2012","248700"
"CA","AMADOR","1","2013","266700"
"CA","AMADOR","2","2013","238800"
"CA","AMADOR","3","2013","242330"
"CA","AMADOR","4","2013","254900"
"CA","AMADOR","5","2013","243630"
"CA","AMADOR","6","2013","239900"
"CA","AMADOR","7","2013","248030"
"CA","AMADOR","8","2013","267800"
"CA","AMADOR","9","2013","244900"
"CA","AMADOR","10","2013","253000"
"CA","AMADOR","11","2013","227100"
"CA","AMADOR","12","2013","248800"
"CA","AMADOR","1","2014","262300"
"CA","AMADOR","2","2014","229650"
"CA","AMADOR","3","2014","247000"
"CA","AMADOR","4","2014","247450"
"CA","AMADOR","5","2014","259390"
"CA","AMADOR","6","2014","237350"
"CA","AMADOR","7","2014","271640"
"CA","AMADOR","8","2014","232390"
"CA","AMADOR","9","2014","263700"
"CA","AMADOR","10","2014","227490"
"CA","AMADOR","11","2014","213260"
"CA","AMADOR","12","2014","251820"
"KY","ANDERSON","1","2006","54750"
"KY","ANDERSON","2","2006","54650"
"KY","ANDERSON","3","2006","68150"
"KY","ANDERSON","4","2006","64720"
"KY","ANDERSON","5","2006","72170"
"KY","ANDERSON","6","2006","71640"
"KY","ANDERSON","7","2006","65700"
"KY","ANDERSON","8","2006","67320"
"KY","ANDERSON","9","2006","67350"
"KY","ANDERSON","10","2006","68350"
"KY","ANDERSON","11","2006","70650"
"KY","ANDERSON","12","2006","75850"
"KY","ANDERSON","1","2007","76750"
"KY","ANDERSON","2","2007","70480"
"KY","ANDERSON","3","2007","80620"
"KY","ANDERSON","4","2007","86950"
"KY","ANDERSON","5","2007","76880"
"KY","ANDERSON","6","2007","84680"
"KY","ANDERSON","7","2007","94750"
"KY","ANDERSON","8","2007","84670"
"KY","ANDERSON","9","2007","79710"
"KY","ANDERSON","10","2007","100840"
"KY","ANDERSON","11","2007","92380"
"KY","ANDERSON","12","2007","91480"
"KY","ANDERSON","1","2008","94380"
"KY","ANDERSON","2","2008","81850"
"KY","ANDERSON","3","2008","103320"
"KY","ANDERSON","4","2008","98380"
"KY","ANDERSON","5","2008","101950"
"KY","ANDERSON","6","2008","90500"
"KY","ANDERSON","7","2008","113170"
"KY","ANDERSON","8","2008","78280"
"KY","ANDERSON","9","2008","91810"
